,Alpha,Cost,ColdStarts,initialDecision,initialDecisionIndex
289,0.2,5.012529029846192e-07,5,"[1, 0, 0, 0, 0, 1]",33
290,0.2,5.012529029846192e-07,5,"[1, 0, 0, 0, 1, 0]",34
291,0.2,5.012529029846192e-07,4,"[1, 0, 0, 0, 1, 1]",35
292,0.2,5.012529029846192e-07,5,"[1, 0, 0, 1, 0, 0]",36
293,0.2,5.012529029846192e-07,4,"[1, 0, 0, 1, 0, 1]",37
294,0.2,5.012529029846192e-07,4,"[1, 0, 0, 1, 1, 0]",38
295,0.2,5.012529029846192e-07,3,"[1, 0, 0, 1, 1, 1]",39
296,0.2,5.012529029846192e-07,5,"[1, 0, 1, 0, 0, 0]",40
297,0.2,5.012529029846192e-07,4,"[1, 0, 1, 0, 0, 1]",41
298,0.2,5.012529029846192e-07,4,"[1, 0, 1, 0, 1, 0]",42
299,0.2,5.012529029846192e-07,3,"[1, 0, 1, 0, 1, 1]",43
300,0.2,5.012529029846192e-07,4,"[1, 0, 1, 1, 0, 0]",44
301,0.2,5.012529029846192e-07,3,"[1, 0, 1, 1, 0, 1]",45
302,0.2,5.012529029846192e-07,3,"[1, 0, 1, 1, 1, 0]",46
303,0.2,5.012529029846192e-07,2,"[1, 0, 1, 1, 1, 1]",47
304,0.2,5.012529029846192e-07,5,"[1, 1, 0, 0, 0, 0]",48
305,0.2,5.012529029846192e-07,4,"[1, 1, 0, 0, 0, 1]",49
306,0.2,5.012529029846192e-07,4,"[1, 1, 0, 0, 1, 0]",50
307,0.2,5.012529029846192e-07,3,"[1, 1, 0, 0, 1, 1]",51
308,0.2,5.012529029846192e-07,4,"[1, 1, 0, 1, 0, 0]",52
309,0.2,5.012529029846192e-07,3,"[1, 1, 0, 1, 0, 1]",53
310,0.2,5.012529029846192e-07,3,"[1, 1, 0, 1, 1, 0]",54
311,0.2,5.012529029846192e-07,2,"[1, 1, 0, 1, 1, 1]",55
312,0.2,5.012529029846192e-07,4,"[1, 1, 1, 0, 0, 0]",56
313,0.2,5.012529029846192e-07,3,"[1, 1, 1, 0, 0, 1]",57
314,0.2,5.012529029846192e-07,3,"[1, 1, 1, 0, 1, 0]",58
315,0.2,5.012529029846192e-07,2,"[1, 1, 1, 0, 1, 1]",59
316,0.2,5.012529029846192e-07,3,"[1, 1, 1, 1, 0, 0]",60
317,0.2,5.012529029846192e-07,2,"[1, 1, 1, 1, 0, 1]",61
318,0.2,5.012529029846192e-07,2,"[1, 1, 1, 1, 1, 0]",62
319,0.2,5.012529029846192e-07,1,"[1, 1, 1, 1, 1, 1]",63
320,0.25,5.012529029846192e-07,5,"[0, 0, 0, 0, 0, 0]",0
321,0.25,5.012529029846192e-07,4,"[0, 0, 0, 0, 0, 1]",1
322,0.25,5.012529029846192e-07,4,"[0, 0, 0, 0, 1, 0]",2
323,0.25,5.012529029846192e-07,3,"[0, 0, 0, 0, 1, 1]",3
324,0.25,5.012529029846192e-07,4,"[0, 0, 0, 1, 0, 0]",4
325,0.25,5.012529029846192e-07,3,"[0, 0, 0, 1, 0, 1]",5
326,0.25,5.012529029846192e-07,3,"[0, 0, 0, 1, 1, 0]",6
327,0.25,5.012529029846192e-07,2,"[0, 0, 0, 1, 1, 1]",7
328,0.25,5.012529029846192e-07,4,"[0, 0, 1, 0, 0, 0]",8
329,0.25,5.012529029846192e-07,3,"[0, 0, 1, 0, 0, 1]",9
330,0.25,5.012529029846192e-07,3,"[0, 0, 1, 0, 1, 0]",10
331,0.25,5.012529029846192e-07,2,"[0, 0, 1, 0, 1, 1]",11
332,0.25,5.012529029846192e-07,3,"[0, 0, 1, 1, 0, 0]",12
333,0.25,5.012529029846192e-07,2,"[0, 0, 1, 1, 0, 1]",13
